id: 1, title: 머신러닝&딥러닝 모델을 활용한 댐 일유입량 예측시 융적설을 고려하기 위한 데이터 전처리에 대한 방법 연구, authors: 조영식;정관수, year: 2024
id: 2, title: XGBoost 머신러닝 기반 쉴드 TBM 지반침하 예측, authors: 신재우;김윤희;이소이;김범주, year: 2025
id: 3, title: 머신러닝 기반 초음파 속도법을 활용한 고온 이력을 받은 콘크리트의 강도저하 회귀 예측 모델 개발, authors: 김원창;김원창;이태규, year: 2025
id: 4, title: 데이터 증강 기법을 적용한 개선된 머신러닝 기반 TBM 디스크 커터 마모 예측, authors: 염유리;최항석;양예림;권기범, year: 2025
id: 5, title: 머신러닝 알고리즘을 이용한 콘크리트 슬럼프 플로 기반의 콘크리트 레올로지 정수 예측 모델 개발, authors: 이유정;김인태;한동엽, year: 2024
id: 6, title: 머신러닝 기반의 제수밸브 누수 진단 및 압력차를 활용한 유량 예측 방법론의 개발, authors: 이수민;정광준;김현준, year: 2023
id: 7, title: 터널 세그먼트 라이닝의 뒤채움 그라우트 결함 탐지를 위한 딥러닝 기반 GPR 철근 클러터 제거 모델, authors: 김윤서;황채민;김형주;최항석, year: 2025
id: 8, title: SCM 함량에 따른 고온 노출 콘크리트 강도 예측을 위한 앙상블모델 적용, authors: 민하은;김희선, year: 2025
id: 9, title: 디스크커터 개별 굴착 거리를 고려한 마모량 예측 머신러닝 모델, authors: 김동구;신영진;권기범;이철희;김동규;최항석, year: 2024
id: 10, title: LSTM을 이용한 상수도 시스템 실시간 데이터 예측, authors: 조은영;최선홍;정한나;장동우, year: 2024
id: 11, title: TBM 디스크 커터 비정상 마모 예측을 위한 데이터 증강 기반 머신러닝 연구, authors: 염유리;최항석;양예림;박진수;권기범, year: 2025
id: 12, title: 머신러닝 기법을 이용한 재해강도 분류모형 개발, authors: 이승민;백선욱;이준학;김경탁;김수전;김형수, year: 2023
id: 13, title: 불균형 데이터 처리를 통한 머신러닝 기반 TBM 굴진율 이상탐지 개선, authors: 권기범;황병현;박현태;오주영;최항석, year: 2024
id: 14, title: 선형회귀분석과 머신러닝을 이용한 암석의 강도 및 암석학적 특징 기반 세르샤 마모지수 추정, authors: 홍주표;강윤성;고태영, year: 2024
id: 15, title: 의사결정나무 및 랜덤포레스트 분류 모델을 이용한 교량 안전등급 예측, authors: 홍지수;전세진, year: 2023
id: 16, title: 기계학습법을 활용한 도로시설물의 시간 의존적 안전등급 예측, authors: 김민선;박예원;왕길환;전종수, year: 2024
id: 17, title: Application of Deep Learning Algorithms for Predicting Consolidation Settlement, authors: 홍성호;이민호;유병수;곽태영;김성렬, year: 2025
id: 18, title: WiFi 신호강도 기반의 실내 측위를 위한 머신러닝 회귀 알고리즘의 비교 분석, authors: 김용현, year: 2024
id: 19, title: 군집 수에 따른 공간 제약 위계적 군집 기반 기계학습 예측 정확도 변화, authors: 정민;강혜윤;구형모, year: 2024
id: 20, title: 공공 및 교통 빅데이터 기반 코로나-19 확산 예측 및 도로정책연계 방안 연구, authors: 정정호;권경주;박성민;강가원;박준영, year: 2024
id: 21, title: 아스팔트 바인더의 단위 고분자에 대한 물성 평가 및 예측 연구 (Part I): 실측자료와 MD를 활용한 물성 분석, authors: 윤태영, year: 2025
id: 22, title: 아스팔트 바인더의 단위 고분자에 대한 물성 평가 및 예측 연구 (Part II): 기계학습을 활용한 물성 예측, authors: 윤태영, year: 2025
id: 23, title: 국가기본도와 항공정사영상을 활용한 객체 탐지 데이터셋 구축 연구, authors: 함형래;김미선;이지영, year: 2023
id: 24, title: 시공 중 흙막이 벽체 수평변위 예측을 위한 앙상블 모델 개발, authors: 서승환;정문경, year: 2023
id: 25, title: 기계학습을 활용한 콘크리트의 강도 예측 모델 검토, authors: 이빛나;유재석, year: 2024
id: 26, title: GPR 영상 지하시설물 탐지를 위한 티처블 머신 활용, authors: 장수민;이병길, year: 2023
id: 27, title: 머신러닝 기반의 강우-유출모형(M-RAT) 매개변수 최적화 기법, authors: 유재은;정세진;김병식;정승권, year: 2025
id: 28, title: 하수처리장 유출수 수질 예측을 위한 최적 파이프라인 설계: 블록 시계열 교차 검증 기반 베이지안 최적화, authors: 박형주;심규대;김영모;이상철, year: 2025
id: 29, title: 담수호의 위성영상 기반 Multi-model Ensemble을 통한 TOC 예측, authors: 김진욱;장원진;김진휘;이용구;신재기;박용은;김성준, year: 2025
id: 30, title: 머신러닝 기반 부식깊이 예측 모델을 적용한 상수도관망의 누적피해도 분석, authors: 권혁재, year: 2025
id: 31, title: 도로포장 재료 개발을 위한 소재정보학과 분자동역학 활용연구 방법 고찰(Ⅱ) : 인공지능 기술을 적용한 재료·소재 연구 동향, authors: 주현진;윤태영;심승보, year: 2024
id: 32, title: 다양한 기계 학습 알고리즘을 활용한 교량 바닥판 상태등급 및 결함도 지수 예측 모델 개발, authors: 이재현;김우혁;민근형;김우석, year: 2024
id: 33, title: 공간데이터 기반 기계학습 모형의 예측 정확도 향상을 위한 연접성 제약을 반영한 공간 군집의 활용, authors: 강혜윤;정민;구형모, year: 2024
id: 34, title: 농업용 저수지 CCTV 영상자료 기반 수위 인식 모델 적용성 검토, authors: 권순호;하창용;이승엽, year: 2023
id: 35, title: 머신러닝을 활용한 계획단계 도로공사 공사비용 추정 모델 개발, authors: 김제원;김준수, year: 2023
id: 36, title: 실용 가능한 배합의 28일 재령 콘크리트 압축강도 예측 기계학습 모델 개발, authors: 손재호, year: 2024
id: 37, title: 공간 데이터와 기계학습 기법의 결합을 위한 공간적 입력변수 유용성 탐색, authors: 구형모;유무상;서현일;박성재, year: 2024
id: 38, title: 고속국도 터널구간 미세먼지 농도 추정 모형 개발, authors: 정도영, year: 2023
id: 39, title: XGBoost 알고리즘 기반 철근콘크리트 기둥의 Backbone 곡선 파라미터 예측, authors: 윤준영;조진우;조은선;한상환, year: 2025
id: 40, title: Seismic Acceleration Estimation Method at Arbitrary Position Using Observations and Machine Learning, authors: 이경석;안진희;박해용;서영덕;김석찬, year: 2023
id: 41, title: LSTM - MLP 인공신경망 앙상블을 이용한 장기 강우유출모의, authors: 안성욱;강동호;성장현;김병식, year: 2024
id: 42, title: 지상 우량계 자료를 활용한 격자 형태의 강우 시나리오 생성 방법 개발: 서울특별시 내 대류성 강우를 중심으로, authors: 차호영;전창현;백종진;김현준, year: 2025
id: 43, title: 기계학습과 최대 커버링 입지 모형을 이용한 광주시 스마트 공공복합편의시설 최적 입지선정, authors: 조성호;구형모, year: 2024
id: 44, title: Influence Analysis of Pavement Distress on International Roughness Index Using Machine Learning, authors: 권기범;황병현;박현태;오주영;최항석;Khanh Pham;Sang Woo Kim;Abraham Bae, year: 2024
id: 45, title: 기계학습기법을 통한 액상화 발생가능 지수 예측에 관한 연구, authors: 전준서;김종관;한진태;서승환;전병한, year: 2024
id: 46, title: 강화학습을 이용한 수처리 및 물환경 관리 최적화 기술의 현황 및 미래, authors: 박정수, year: 2025
id: 47, title: 철근콘크리트 기둥에 대한 연성 기반 폭발손상평가를 위한 기계학습 모델, authors: 김예은;김수빈;이기학;신지욱, year: 2024
id: 48, title: 동수역학적 모형과 기계학습을 모형을 결합한 하천 홍수 예측모형, authors: 이재경;전경수, year: 2024
id: 49, title: 건설 리스크 도출을 위한 SVM 기반의 건설프로젝트 문서 분류 모델 개발, authors: 강동욱;조민건;차기춘;박승희, year: 2023
id: 50, title: RC 기둥의 폭발 저항성능 예측을 위한 소수 데이터 세트 기반 기계학습 모델 방법론, authors: 김예은;김수빈;이기학;신지욱, year: 2025
id: 51, title: Do Perceptions of Hydrogen Energy Effect on Vehicle Preference? A Learning-Based Model Approach, authors: 김우진;김정화;장정아;김숙희, year: 2023
id: 52, title: 선형기계학습모델을 이용한 자갈해빈상에서의 쇄파지표 예측, authors: 안을혁;이영찬;김도삼;이광호, year: 2024
id: 53, title: 1시간 호우피해 규모 예측을 위한 AI 기반의 1ST-모형 개발, authors: 이준학;이하늘;강나래;황석환;김형수;김수전, year: 2023
id: 54, title: 아스팔트 층 두께 예측을 위한 통계적 모형과 기계학습 기법 활용에 대한 연구, authors: 김연태;박혜민;박희문, year: 2024
id: 55, title: 기계학습 기반 지하매설물 속성 및 밀집도를 활용한 지반함몰 위험도 예측 모델, authors: 이성열;강재모;김진영, year: 2023
id: 56, title: 암석 터널 막장의 3차원 포인트 클라우드에서 절리 계측을 위한 R-C-D 기계 학습 방법, authors: 문상모;Bara Alseid;최항석;양정훈;문홍표;서형준, year: 2024
id: 57, title: 강우-유출 모의를 위한 개념적 모형과 기계학습 모형의 성능 비교, authors: 이승철;김대하, year: 2023
id: 58, title: 생성형 인공지능 기반 터널 콘크리트 균열 영상 데이터의 증강을 위한 파라미터 분석, authors: 심승보, year: 2024
id: 59, title: AI 기법을 활용한 정수장 수질예측에 관한 연구, authors: 이승민;강유진;송진우;김주환;김형수;김수전, year: 2024
id: 60, title: HEC 소프트웨어 기반 홍수범람지도 엑셀러레이터 개발, authors: 김종천;황석환;정종호, year: 2024
id: 61, title: 위성영상의 계절적 특성에 따른 비닐하우스 탐지 결과 분석, authors: 윤병현;장안진;성선경;최재완, year: 2023
id: 62, title: U-Net 및 U-Net++ 구조 기반의 초단기 레이더 강우예측 모델 성능 비교, authors: 정민도;윤광석;권현한, year: 2024
id: 63, title: 물리정보 기반 딥러닝을 이용한 도시침수 해석: 온천천 유역 사례, authors: 우현아;최현진;김민영;노성진, year: 2024
id: 64, title: 관로 조사를 위한 오토 인코더 기반 이상 탐지기법에 관한 연구, authors: 김관태;이준원, year: 2024
